id,date,type,description,payment_method,bank,value,categories,notes
1,2024-01-02,CREDITO,anonimizado,PIX,CAIXA,260.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
2,2024-01-03,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,585.0,"Recebimento, Serviços Hospitalares",anonimizado
3,2024-01-05,DEBITO,anonimizado,TRANSFERENCIA,CAIXA,2145.47,Salário,anonimizado
4,2024-01-05,DEBITO,anonimizado,PIX,CAIXA,822.25,Salário,anonimizado
5,2024-01-05,DEBITO,anonimizado,PIX,CAIXA,1353.37,Salário,anonimizado
6,2024-01-05,DEBITO,anonimizado,PIX,CAIXA,1498.9,Salário,anonimizado
7,2024-01-05,DEBITO,anonimizado,PIX,CAIXA,957.88,Salário,anonimizado
8,2024-01-05,DEBITO,anonimizado,BOLETO,CAIXA,69.0,Pagamento de Encargos,anonimizado
9,2024-01-08,DEBITO,anonimizado,BOLETO,CAIXA,4708.01,"Despesas, Aluguel",anonimizado
10,2024-01-08,DEBITO,anonimizado,BOLETO,CAIXA,427.3,"Encargos, FGTS",anonimizado
11,2024-01-10,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,7721.98,"Recebimento, Serviços",anonimizado
12,2024-01-11,DEBITO,anonimizado,PIX,CAIXA,1464.66,Rescisão Trabalhista,anonimizado
13,2024-01-19,DEBITO,anonimizado,PIX,CAIXA,696.04,Adiantamento Salarial,anonimizado
14,2024-01-19,DEBITO,anonimizado,BOLETO,CAIXA,84.58,"Encargos, Impostos",anonimizado
15,2024-01-19,DEBITO,anonimizado,BOLETO,CAIXA,1519.47,"Encargos, INSS",anonimizado
16,2024-01-19,DEBITO,anonimizado,BOLETO,CAIXA,2767.23,"Encargos, DAS",anonimizado
17,2024-01-22,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,300.0,"Recebimento, Serviços",anonimizado
18,2024-01-22,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,6273.75,"Recebimento, Serviços",anonimizado
19,2024-01-31,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,2056.29,"Recebimento, Pagamento Online",anonimizado
20,2024-02-01,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,1000.0,"Recebimento, Serviços Hospitalares",anonimizado
21,2024-02-05,DEBITO,anonimizado,PIX,CAIXA,789.45,Contabilidade,anonimizado
22,2024-02-05,DEBITO,anonimizado,BOLETO,CAIXA,69.0,Pagamento de Encargos,anonimizado
23,2024-02-06,DEBITO,anonimizado,TRANSFERENCIA,CAIXA,2334.11,Salário,anonimizado
24,2024-02-06,DEBITO,anonimizado,PIX,CAIXA,1519.17,Salário,anonimizado
25,2024-02-06,DEBITO,anonimizado,PIX,CAIXA,1500.28,Salário,anonimizado
26,2024-02-06,DEBITO,anonimizado,PIX,CAIXA,1604.67,Salário,anonimizado
27,2024-02-06,DEBITO,anonimizado,BOLETO,CAIXA,1010.63,"Encargos, FGTS",anonimizado
28,2024-02-14,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,400.0,"Recebimento, Serviços",anonimizado
29,2024-02-14,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,4037.37,"Recebimento, Serviços",anonimizado
30,2024-02-15,DEBITO,anonimizado,BOLETO,CAIXA,1530.07,"Despesas, Cartão de CrEdito",anonimizado
31,2024-02-19,CREDITO,anonimizado,PIX,CAIXA,150.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
32,2024-02-20,DEBITO,anonimizado,BOLETO,CAIXA,1858.81,"Encargos, DAS",anonimizado
33,2024-02-20,DEBITO,anonimizado,BOLETO,CAIXA,1413.92,"Encargos, INSS",anonimizado
